model,n_valid_overall,accuracy_overall,n_valid_bare,accuracy_bare,n_valid_ba,accuracy_ba,n_valid_ma,accuracy_ma
deepseek-r1-0528,18,0.5,6,1.0,6,0.5,6,0.0
deepseek-v3,18,0.5555555555555556,6,1.0,6,0.3333333333333333,6,0.3333333333333333
gemini-3-flash-preview,18,0.6111111111111112,6,1.0,6,0.5,6,0.3333333333333333
gemma-4-31b,18,0.6111111111111112,6,1.0,6,0.5,6,0.3333333333333333
mistral-small-3-24b,18,0.6111111111111112,6,1.0,6,0.5,6,0.3333333333333333
qwen3-next-80b,18,0.5555555555555556,6,1.0,6,0.3333333333333333,6,0.3333333333333333
